"","lang","word","sentiment","value"
"129","english","antidote","positive",1
"130","english","antifungal","positive",1
"131","english","antique","positive",1
"132","english","antiseptic","positive",1
"133","english","aplomb","positive",1
"134","english","apologetic","positive",1
"135","english","apologize","positive",1
"136","english","apology","positive",1
"137","english","apostle","positive",1
"138","english","applause","positive",1
"139","english","appreciation","positive",1
"140","english","approbation","positive",1
"141","english","approval","positive",1
"142","english","approve","positive",1
"143","english","approving","positive",1
"144","english","apt","positive",1
"145","english","aptitude","positive",1
"146","english","archaeology","positive",1
"147","english","ardent","positive",1
"148","english","ardor","positive",1
"149","english","aristocracy","positive",1
"150","english","aristocratic","positive",1
"151","english","armed","positive",1
"152","english","armor","positive",1
"153","english","aroma","positive",1
"154","english","arouse","positive",1
"155","english","array","positive",1
"156","english","art","positive",1
"157","english","articulate","positive",1
"158","english","articulation","positive",1
"159","english","artisan","positive",1
"160","english","artiste","positive",1
"161","english","artistic","positive",1
"162","english","ascendancy","positive",1
"163","english","ascent","positive",1
"164","english","aspiration","positive",1
"165","english","aspire","positive",1
"166","english","aspiring","positive",1
"167","english","assembly","positive",1
"168","english","assent","positive",1
"169","english","asserting","positive",1
"170","english","assets","positive",1
"171","english","assist","positive",1
"172","english","assistance","positive",1
"173","english","associate","positive",1
"174","english","assuage","positive",1
"175","english","assurance","positive",1
"176","english","assured","positive",1
"177","english","astonishingly","positive",1
"178","english","astonishment","positive",1
"179","english","astrologer","positive",1
"180","english","astronaut","positive",1
"181","english","astronomer","positive",1
"182","english","astute","positive",1
"183","english","athlete","positive",1
"184","english","athletic","positive",1
"185","english","atom","positive",1
"186","english","atone","positive",1
"187","english","atonement","positive",1
"188","english","attachment","positive",1
"189","english","attainable","positive",1
"190","english","attainment","positive",1
"191","english","attendant","positive",1
"192","english","attention","positive",1
"193","english","attentive","positive",1
"194","english","attest","positive",1
"195","english","attorney","positive",1
"196","english","attraction","positive",1
"197","english","attractiveness","positive",1
"198","english","augment","positive",1
"199","english","august","positive",1
"200","english","aunt","positive",1
"201","english","aura","positive",1
"202","english","auspicious","positive",1
"203","english","authentic","positive",1
"204","english","authenticity","positive",1
"205","english","author","positive",1
"206","english","authoritative","positive",1
"207","english","authority","positive",1
"208","english","authorization","positive",1
"209","english","authorized","positive",1
"210","english","avatar","positive",1
"211","english","award","positive",1
"212","english","ay","positive",1
"213","english","aye","positive",1
"214","english","baby","positive",1
"215","english","baccalaureate","positive",1
"216","english","backbone","positive",1
"217","english","balance","positive",1
"218","english","balanced","positive",1
"219","english","ballad","positive",1
"220","english","ballet","positive",1
"221","english","ballot","positive",1
"222","english","balm","positive",1
"223","english","balsam","positive",1
"224","english","banquet","positive",1
"225","english","baptism","positive",1
"226","english","baptismal","positive",1
"227","english","bard","positive",1
"228","english","bargain","positive",1
"229","english","basketball","positive",1
"230","english","bastion","positive",1
"231","english","bath","positive",1
"232","english","beam","positive",1
"233","english","beaming","positive",1
"234","english","beautification","positive",1
"235","english","beautiful","positive",1
"236","english","beautify","positive",1
"237","english","beauty","positive",1
"238","english","bedrock","positive",1
"239","english","beer","positive",1
"240","english","befitting","positive",1
"241","english","befriend","positive",1
"242","english","believing","positive",1
"243","english","benefactor","positive",1
"244","english","beneficial","positive",1
"245","english","benefit","positive",1
"246","english","benevolence","positive",1
"247","english","benign","positive",1
"248","english","berth","positive",1
"249","english","betrothed","positive",1
"250","english","betterment","positive",1
"251","english","beverage","positive",1
"252","english","biblical","positive",1
"253","english","bilingual","positive",1
"254","english","birth","positive",1
"255","english","birthday","positive",1
"256","english","blameless","positive",1
"257","english","bless","positive",1
"258","english","blessed","positive",1
"259","english","blessing","positive",1
"260","english","blessings","positive",1
"261","english","bliss","positive",1
"262","english","blissful","positive",1
"263","english","bloodless","positive",1
"264","english","bloom","positive",1
"265","english","blossom","positive",1
"266","english","boast","positive",1
"267","english","bodyguard","positive",1
"268","english","boisterous","positive",1
"269","english","bold","positive",1
"270","english","boldness","positive",1
"271","english","bolster","positive",1
"272","english","bonanza","positive",1
"273","english","bonne","positive",1
"274","english","bonus","positive",1
"275","english","bookish","positive",1
"276","english","bookshop","positive",1
"277","english","bookworm","positive",1
"278","english","boon","positive",1
"279","english","bountiful","positive",1
"280","english","bounty","positive",1
"281","english","bouquet","positive",1
"282","english","brains","positive",1
"283","english","bravery","positive",1
"284","english","breakfast","positive",1
"285","english","bridal","positive",1
"286","english","bride","positive",1
"287","english","bridegroom","positive",1
"288","english","bridesmaid","positive",1
"289","english","brighten","positive",1
"290","english","brightness","positive",1
"291","english","brilliant","positive",1
"292","english","brocade","positive",1
"293","english","brother","positive",1
"294","english","brotherhood","positive",1
"295","english","brotherly","positive",1
"296","english","buck","positive",1
"297","english","buddy","positive",1
"298","english","build","positive",1
"299","english","building","positive",1
"300","english","bulldog","positive",1
"301","english","bulletproof","positive",1
"302","english","buoy","positive",1
"303","english","buss","positive",1
"304","english","butler","positive",1
"305","english","buttery","positive",1
"306","english","buxom","positive",1
"307","english","buzz","positive",1
"308","english","cab","positive",1
"309","english","cabinet","positive",1
"310","english","cafe","positive",1
"311","english","calculator","positive",1
"312","english","calf","positive",1
"313","english","calm","positive",1
"314","english","canary","positive",1
"315","english","candid","positive",1
"316","english","candidate","positive",1
"317","english","candied","positive",1
"318","english","capitalist","positive",1
"319","english","captain","positive",1
"320","english","captivate","positive",1
"321","english","captivating","positive",1
"322","english","career","positive",1
"323","english","careful","positive",1
"324","english","carefully","positive",1
"325","english","caress","positive",1
"326","english","caretaker","positive",1
"327","english","carol","positive",1
"328","english","cascade","positive",1
"329","english","cash","positive",1
"330","english","categorical","positive",1
"331","english","cater","positive",1
"332","english","cathartic","positive",1
"333","english","cathedral","positive",1
"334","english","cautious","positive",1
"335","english","cautiously","positive",1
"336","english","celebrated","positive",1
"337","english","celebrating","positive",1
"338","english","celebration","positive",1
"339","english","celebrity","positive",1
"340","english","celestial","positive",1
"341","english","center","positive",1
"342","english","centurion","positive",1
"343","english","cerebral","positive",1
"344","english","ceremony","positive",1
"345","english","certainty","positive",1
"346","english","chairman","positive",1
"347","english","chairwoman","positive",1
"348","english","champion","positive",1
"349","english","chant","positive",1
"350","english","charger","positive",1
"351","english","charitable","positive",1
"352","english","charity","positive",1
"353","english","charm","positive",1
"354","english","charmed","positive",1
"355","english","charming","positive",1
"356","english","chastity","positive",1
"357","english","chattering","positive",1
"358","english","checklist","positive",1
"359","english","cheer","positive",1
"360","english","cheerful","positive",1
"361","english","cheerfulness","positive",1
"362","english","cheering","positive",1
"363","english","cheery","positive",1
"364","english","chemist","positive",1
"365","english","cherish","positive",1
"366","english","cherry","positive",1
"367","english","chieftain","positive",1
"368","english","child","positive",1
"369","english","childhood","positive",1
"370","english","chirp","positive",1
"371","english","chisel","positive",1
"372","english","chivalry","positive",1
"373","english","chocolate","positive",1
"374","english","choice","positive",1
"375","english","choir","positive",1
"376","english","choral","positive",1
"377","english","chorus","positive",1
"378","english","chosen","positive",1
"379","english","chowder","positive",1
"380","english","chronicle","positive",1
"381","english","chuckle","positive",1
"382","english","church","positive",1
"383","english","cider","positive",1
"384","english","circumcision","positive",1
"385","english","circumvention","positive",1
"386","english","citizen","positive",1
"387","english","civil","positive",1
"388","english","civility","positive",1
"389","english","civilization","positive",1
"390","english","civilized","positive",1
"391","english","clairvoyant","positive",1
"392","english","clap","positive",1
"393","english","clarify","positive",1
"394","english","classic","positive",1
"395","english","classical","positive",1
"396","english","classics","positive",1
"397","english","classify","positive",1
"398","english","clean","positive",1
"399","english","cleaning","positive",1
"400","english","cleanliness","positive",1
"401","english","cleanly","positive",1
"402","english","cleanse","positive",1
"403","english","cleansing","positive",1
"404","english","clearance","positive",1
"405","english","clearness","positive",1
"406","english","clerical","positive",1
"407","english","clever","positive",1
"408","english","cleverness","positive",1
"409","english","climax","positive",1
"410","english","closeness","positive",1
"411","english","closure","positive",1
"412","english","clothe","positive",1
"413","english","clown","positive",1
"414","english","coalition","positive",1
"415","english","coast","positive",1
"416","english","coexist","positive",1
"417","english","cogent","positive",1
"418","english","cognitive","positive",1
"419","english","coherence","positive",1
"420","english","coherent","positive",1
"421","english","cohesive","positive",1
"422","english","collectively","positive",1
"423","english","colonel","positive",1
"424","english","colossal","positive",1
"425","english","comfort","positive",1
"426","english","commandant","positive",1
"427","english","commanding","positive",1
"428","english","commemorate","positive",1
"429","english","commemoration","positive",1
"430","english","commemorative","positive",1
"431","english","commend","positive",1
"432","english","commendable","positive",1
"433","english","commentator","positive",1
"434","english","committed","positive",1
"435","english","commodore","positive",1
"436","english","commonwealth","positive",1
"437","english","communicate","positive",1
"438","english","communicative","positive",1
"439","english","communion","positive",1
"440","english","community","positive",1
"441","english","commutation","positive",1
"442","english","commute","positive",1
"443","english","companion","positive",1
"444","english","compassion","positive",1
"445","english","compassionate","positive",1
"446","english","compatibility","positive",1
"447","english","compatible","positive",1
"448","english","compelling","positive",1
"449","english","compensate","positive",1
"450","english","compensatory","positive",1
"451","english","competence","positive",1
"452","english","competency","positive",1
"453","english","competent","positive",1
"454","english","complacency","positive",1
"455","english","complement","positive",1
"456","english","complementary","positive",1
"457","english","completely","positive",1
"458","english","completeness","positive",1
"459","english","completing","positive",1
"460","english","completion","positive",1
"461","english","compliance","positive",1
"462","english","compliant","positive",1
"463","english","complicity","positive",1
"464","english","compliment","positive",1
"465","english","composed","positive",1
"466","english","composer","positive",1
"467","english","composure","positive",1
"468","english","comprehend","positive",1
"469","english","comprehensive","positive",1
"470","english","comrade","positive",1
"471","english","concentric","positive",1
"472","english","conciliation","positive",1
"473","english","concluding","positive",1
"474","english","concord","positive",1
"475","english","concordance","positive",1
"476","english","condolence","positive",1
"477","english","condone","positive",1
"478","english","conducive","positive",1
"479","english","conductivity","positive",1
"480","english","confederate","positive",1
"481","english","confess","positive",1
"482","english","confidence","positive",1
"483","english","confident","positive",1
"484","english","confirmed","positive",1
"485","english","conformance","positive",1
"486","english","congenial","positive",1
"487","english","congratulatory","positive",1
"488","english","congregation","positive",1
"489","english","congruence","positive",1
"490","english","connoisseur","positive",1
"491","english","conscience","positive",1
"492","english","conscientious","positive",1
"493","english","consciousness","positive",1
"494","english","consecration","positive",1
"495","english","conservation","positive",1
"496","english","conserve","positive",1
"497","english","considerable","positive",1
"498","english","considerate","positive",1
"499","english","consistency","positive",1
"500","english","console","positive",1
"501","english","consonant","positive",1
"502","english","constancy","positive",1
"503","english","constant","positive",1
"504","english","constitutional","positive",1
"505","english","construct","positive",1
"506","english","consummate","positive",1
"507","english","contact","positive",1
"508","english","contemplation","positive",1
"509","english","content","positive",1
"510","english","continue","positive",1
"511","english","contour","positive",1
"512","english","contribute","positive",1
"513","english","contributor","positive",1
"514","english","convenience","positive",1
"515","english","convenient","positive",1
"516","english","convent","positive",1
"517","english","convention","positive",1
"518","english","conversant","positive",1
"519","english","conversational","positive",1
"520","english","convert","positive",1
"521","english","convince","positive",1
"522","english","cool","positive",1
"523","english","coolness","positive",1
"524","english","cooperate","positive",1
"525","english","cooperating","positive",1
"526","english","cooperation","positive",1
"527","english","cooperative","positive",1
"528","english","core","positive",1
"529","english","coronation","positive",1
"530","english","corporation","positive",1
"531","english","corporeal","positive",1
"532","english","corrective","positive",1
"533","english","correspondence","positive",1
"534","english","corroborate","positive",1
"535","english","cosmopolitan","positive",1
"536","english","cosy","positive",1
"537","english","council","positive",1
"538","english","counsel","positive",1
"539","english","counselor","positive",1
"540","english","count","positive",1
"541","english","countess","positive",1
"542","english","courage","positive",1
"543","english","courageous","positive",1
"544","english","courteous","positive",1
"545","english","courtesy","positive",1
"546","english","courtship","positive",1
"547","english","cove","positive",1
"548","english","covenant","positive",1
"549","english","cradle","positive",1
"550","english","craft","positive",1
"551","english","craftsman","positive",1
"552","english","cream","positive",1
"553","english","create","positive",1
"554","english","creative","positive",1
"555","english","credence","positive",1
"556","english","credential","positive",1
"557","english","credibility","positive",1
"558","english","credible","positive",1
"559","english","credit","positive",1
"560","english","creditable","positive",1
"561","english","credited","positive",1
"562","english","crescendo","positive",1
"563","english","critique","positive",1
"564","english","crowning","positive",1
"565","english","crucial","positive",1
"566","english","crystal","positive",1
"567","english","cuddle","positive",1
"568","english","culinary","positive",1
"569","english","culmination","positive",1
"570","english","cultivate","positive",1
"571","english","cultivated","positive",1
"572","english","cultivation","positive",1
"573","english","culture","positive",1
"574","english","cunning","positive",1
"575","english","curable","positive",1
"576","english","curiosity","positive",1
"577","english","curl","positive",1
"578","english","cushion","positive",1
"579","english","customer","positive",1
"580","english","cute","positive",1
"581","english","cutters","positive",1
"582","english","dame","positive",1
"583","english","dance","positive",1
"584","english","daring","positive",1
"585","english","darling","positive",1
"586","english","dashing","positive",1
"587","english","daughter","positive",1
"588","english","dawn","positive",1
"589","english","deal","positive",1
"590","english","dear","positive",1
"591","english","debate","positive",1
"592","english","decency","positive",1
"593","english","decent","positive",1
"594","english","declaratory","positive",1
"595","english","dedication","positive",1
"596","english","defend","positive",1
"597","english","defended","positive",1
"598","english","defender","positive",1
"599","english","defending","positive",1
"600","english","defense","positive",1
"601","english","deference","positive",1
"602","english","definitive","positive",1
"603","english","degree","positive",1
"604","english","delectable","positive",1
"605","english","delegate","positive",1
"606","english","deliberate","positive",1
"607","english","delicious","positive",1
"608","english","delight","positive",1
"609","english","delighted","positive",1
"610","english","delightful","positive",1
"611","english","deliverance","positive",1
"612","english","delivery","positive",1
"613","english","democracy","positive",1
"614","english","demonstrable","positive",1
"615","english","demonstrative","positive",1
"616","english","dependent","positive",1
"617","english","depth","positive",1
"618","english","descriptive","positive",1
"619","english","deserve","positive",1
"620","english","deserved","positive",1
"621","english","designer","positive",1
"622","english","desirable","positive",1
"623","english","desiring","positive",1
"624","english","desirous","positive",1
"625","english","destination","positive",1
"626","english","detect","positive",1
"627","english","detection","positive",1
"628","english","determination","positive",1
"629","english","determined","positive",1
"630","english","develop","positive",1
"631","english","devotional","positive",1
"632","english","devout","positive",1
"633","english","dexterity","positive",1
"634","english","diamond","positive",1
"635","english","diary","positive",1
"636","english","dictionary","positive",1
"637","english","didactic","positive",1
"638","english","dietary","positive",1
"639","english","dignified","positive",1
"640","english","dignity","positive",1
"641","english","diligence","positive",1
"642","english","dinner","positive",1
"643","english","diplomacy","positive",1
"644","english","diplomatic","positive",1
"645","english","director","positive",1
"646","english","discovery","positive",1
"647","english","discreet","positive",1
"648","english","discretion","positive",1
"649","english","discretionary","positive",1
"650","english","discussion","positive",1
"651","english","disinfection","positive",1
"652","english","disposed","positive",1
"653","english","disseminate","positive",1
"654","english","distillation","positive",1
"655","english","distinction","positive",1
"656","english","ditty","positive",1
"657","english","diverse","positive",1
"658","english","diversified","positive",1
"659","english","diversion","positive",1
"660","english","divinity","positive",1
"661","english","doctor","positive",1
"662","english","doer","positive",1
"663","english","dogged","positive",1
"664","english","dolphin","positive",1
"665","english","dominate","positive",1
"666","english","don","positive",1
"667","english","donation","positive",1
"668","english","doubtless","positive",1
"669","english","dove","positive",1
"670","english","downy","positive",1
"671","english","duet","positive",1
"672","english","duke","positive",1
"673","english","durability","positive",1
"674","english","durable","positive",1
"675","english","dutiful","positive",1
"676","english","eager","positive",1
"677","english","eagerness","positive",1
"678","english","earl","positive",1
"679","english","earn","positive",1
"680","english","earnest","positive",1
"681","english","earnestly","positive",1
"682","english","earnestness","positive",1
"683","english","ease","positive",1
"684","english","easement","positive",1
"685","english","easygoing","positive",1
"686","english","eat","positive",1
"687","english","ecstasy","positive",1
"688","english","ecstatic","positive",1
"689","english","edification","positive",1
"690","english","educate","positive",1
"691","english","educated","positive",1
"692","english","educational","positive",1
"693","english","effective","positive",1
"694","english","efficacy","positive",1
"695","english","efficiency","positive",1
"696","english","efficient","positive",1
"697","english","effort","positive",1
"698","english","ejaculation","positive",1
"699","english","elaboration","positive",1
"700","english","elated","positive",1
"701","english","elder","positive",1
"702","english","elders","positive",1
"703","english","elect","positive",1
"704","english","electric","positive",1
"705","english","electricity","positive",1
"706","english","elegance","positive",1
"707","english","elegant","positive",1
"708","english","elevation","positive",1
"709","english","eligible","positive",1
"710","english","elite","positive",1
"711","english","eloquence","positive",1
"712","english","eloquent","positive",1
"713","english","elucidate","positive",1
"714","english","emancipation","positive",1
"715","english","embrace","positive",1
"716","english","emeritus","positive",1
"717","english","eminence","positive",1
"718","english","eminent","positive",1
"719","english","eminently","positive",1
"720","english","emir","positive",1
"721","english","empathy","positive",1
"722","english","empower","positive",1
"723","english","emulate","positive",1
"724","english","enable","positive",1
"725","english","enablement","positive",1
"726","english","enchant","positive",1
"727","english","enchanted","positive",1
"728","english","enchanting","positive",1
"729","english","encore","positive",1
"730","english","encourage","positive",1
"731","english","encouragement","positive",1
"732","english","encyclopedia","positive",1
"733","english","endeavor","positive",1
"734","english","endless","positive",1
"735","english","endow","positive",1
"736","english","endowed","positive",1
"737","english","endowment","positive",1
"738","english","endurance","positive",1
"739","english","endure","positive",1
"740","english","energetic","positive",1
"741","english","enforce","positive",1
"742","english","engaged","positive",1
"743","english","engaging","positive",1
"744","english","enhance","positive",1
"745","english","enjoy","positive",1
"746","english","enjoying","positive",1
"747","english","enlighten","positive",1
"748","english","enlightenment","positive",1
"749","english","enliven","positive",1
"750","english","enrich","positive",1
"751","english","ensemble","positive",1
"752","english","ensign","positive",1
"753","english","enterprising","positive",1
"754","english","entertain","positive",1
"755","english","entertained","positive",1
"756","english","entertaining","positive",1
"757","english","entertainment","positive",1
"758","english","enthusiasm","positive",1
"759","english","enthusiast","positive",1
"760","english","environ","positive",1
"761","english","ephemeris","positive",1
"762","english","epic","positive",1
"763","english","epitome","positive",1
"764","english","equality","positive",1
"765","english","equally","positive",1
"766","english","equilibrium","positive",1
"767","english","equity","positive",1
"768","english","erotic","positive",1
"769","english","errand","positive",1
"770","english","erudite","positive",1
"771","english","escape","positive",1
"772","english","esprit","positive",1
"773","english","essential","positive",1
"774","english","established","positive",1
"775","english","esteem","positive",1
"776","english","esthetic","positive",1
"777","english","ethical","positive",1
"778","english","ethics","positive",1
"779","english","evergreen","positive",1
"780","english","everlasting","positive",1
"781","english","evident","positive",1
"782","english","evolution","positive",1
"783","english","exalt","positive",1
"784","english","exaltation","positive",1
"785","english","exalted","positive",1
"786","english","exceed","positive",1
"787","english","excel","positive",1
"788","english","excellence","positive",1
"789","english","excellent","positive",1
"790","english","exchange","positive",1
"791","english","excitable","positive",1
"792","english","excitation","positive",1
"793","english","excite","positive",1
"794","english","excited","positive",1
"795","english","excitement","positive",1
"796","english","exciting","positive",1
"797","english","exemplary","positive",1
"798","english","exemption","positive",1
"799","english","exhilaration","positive",1
"800","english","exhort","positive",1
"801","english","exhortation","positive",1
"802","english","existence","positive",1
"803","english","exotic","positive",1
"804","english","expect","positive",1
"805","english","expectation","positive",1
"806","english","expedient","positive",1
"807","english","expedition","positive",1
"808","english","experienced","positive",1
"809","english","expert","positive",1
"810","english","expertise","positive",1
"811","english","explain","positive",1
"812","english","exquisite","positive",1
"813","english","exquisitely","positive",1
"814","english","extend","positive",1
"815","english","extensive","positive",1
"816","english","extra","positive",1
"817","english","extraordinary","positive",1
"818","english","extricate","positive",1
"819","english","exuberance","positive",1
"820","english","facilitate","positive",1
"821","english","facts","positive",1
"822","english","faculty","positive",1
"823","english","fain","positive",1
"824","english","fair","positive",1
"825","english","fairly","positive",1
"826","english","faith","positive",1
"827","english","faithful","positive",1
"828","english","fame","positive",1
"829","english","familiar","positive",1
"830","english","familiarity","positive",1
"831","english","famous","positive",1
"832","english","famously","positive",1
"833","english","fancy","positive",1
"834","english","fanfare","positive",1
"835","english","fascinating","positive",1
"836","english","fascination","positive",1
"837","english","fashionable","positive",1
"838","english","faultless","positive",1
"839","english","favorable","positive",1
"840","english","favorite","positive",1
"841","english","favoritism","positive",1
"842","english","fearless","positive",1
"843","english","feat","positive",1
"844","english","feature","positive",1
"845","english","feeling","positive",1
"846","english","felicity","positive",1
"847","english","fellow","positive",1
"848","english","fellowship","positive",1
"849","english","female","positive",1
"850","english","fertile","positive",1
"851","english","fervor","positive",1
"852","english","festival","positive",1
"853","english","festive","positive",1
"854","english","fete","positive",1
"855","english","fidelity","positive",1
"856","english","fiesta","positive",1
"857","english","finally","positive",1
"858","english","finery","positive",1
"859","english","finesse","positive",1
"860","english","fireball","positive",1
"861","english","fireproof","positive",1
"862","english","firmness","positive",1
"863","english","firstborn","positive",1
"864","english","fitting","positive",1
"865","english","fixture","positive",1
"866","english","flattering","positive",1
"867","english","fleet","positive",1
"868","english","flexibility","positive",1
"869","english","flirt","positive",1
"870","english","floral","positive",1
"871","english","flow","positive",1
"872","english","flowery","positive",1
"873","english","flush","positive",1
"874","english","flying","positive",1
"875","english","focus","positive",1
"876","english","fondness","positive",1
"877","english","food","positive",1
"878","english","football","positive",1
"879","english","forbearance","positive",1
"880","english","fore","positive",1
"881","english","forefathers","positive",1
"882","english","foregoing","positive",1
"883","english","foreman","positive",1
"884","english","forerunner","positive",1
"885","english","foresee","positive",1
"886","english","foreseen","positive",1
"887","english","foresight","positive",1
"888","english","forge","positive",1
"889","english","forgive","positive",1
"890","english","forgiven","positive",1
"891","english","forgiving","positive",1
"892","english","formative","positive",1
"893","english","formula","positive",1
"894","english","forte","positive",1
"895","english","forthcoming","positive",1
"896","english","fortify","positive",1
"897","english","fortitude","positive",1
"898","english","fortress","positive",1
"899","english","fortunate","positive",1
"900","english","fortune","positive",1
"901","english","forward","positive",1
"902","english","found","positive",1
"903","english","foundation","positive",1
"904","english","fragrant","positive",1
"905","english","frank","positive",1
"906","english","frankness","positive",1
"907","english","fraternal","positive",1
"908","english","freedom","positive",1
"909","english","freely","positive",1
"910","english","friend","positive",1
"911","english","friendliness","positive",1
"912","english","friendly","positive",1
"913","english","friendship","positive",1
"914","english","frisky","positive",1
"915","english","frolic","positive",1
"916","english","frugal","positive",1
"917","english","fruitful","positive",1
"918","english","fulfill","positive",1
"919","english","fulfillment","positive",1
"920","english","full","positive",1
"921","english","fully","positive",1
"922","english","fun","positive",1
"923","english","fundamental","positive",1
"924","english","fuse","positive",1
"925","english","fusion","positive",1
"926","english","gain","positive",1
"927","english","gaining","positive",1
"928","english","gallant","positive",1
"929","english","gallantry","positive",1
"930","english","galore","positive",1
"931","english","garden","positive",1
"932","english","garnet","positive",1
"933","english","garrison","positive",1
"934","english","gazette","positive",1
"935","english","gear","positive",1
"936","english","gem","positive",1
"937","english","general","positive",1
"938","english","generosity","positive",1
"939","english","generous","positive",1
"940","english","genial","positive",1
"941","english","genius","positive",1
"942","english","genteel","positive",1
"943","english","gentleman","positive",1
"944","english","gentleness","positive",1
"945","english","gentry","positive",1
"946","english","genuine","positive",1
"947","english","geranium","positive",1
"948","english","gift","positive",1
"949","english","gifted","positive",1
"950","english","gigantic","positive",1
"951","english","giggle","positive",1
"952","english","girder","positive",1
"953","english","giving","positive",1
"954","english","glad","positive",1
"955","english","gladness","positive",1
"956","english","glee","positive",1
"957","english","glide","positive",1
"958","english","glimmer","positive",1
"959","english","glittering","positive",1
"960","english","glorification","positive",1
"961","english","glorify","positive",1
"962","english","glory","positive",1
"963","english","gloss","positive",1
"964","english","glow","positive",1
"965","english","glowing","positive",1
"966","english","god","positive",1
"967","english","godly","positive",1
"968","english","godsend","positive",1
"969","english","gold","positive",1
"970","english","good","positive",1
"971","english","goodly","positive",1
"972","english","goodness","positive",1
"973","english","goods","positive",1
"974","english","goodwill","positive",1
"975","english","gorgeous","positive",1
"976","english","gospel","positive",1
"977","english","govern","positive",1
"978","english","grace","positive",1
"979","english","graceful","positive",1
"980","english","gracious","positive",1
"981","english","graciously","positive",1
"982","english","graduation","positive",1
"983","english","grandchildren","positive",1
"984","english","grandeur","positive",1
"985","english","grandmother","positive",1
"986","english","grant","positive",1
"987","english","granted","positive",1
"988","english","grateful","positive",1
"989","english","gratify","positive",1
"990","english","gratitude","positive",1
"991","english","greater","positive",1
"992","english","greatness","positive",1
"993","english","green","positive",1
"994","english","greeting","positive",1
"995","english","gregarious","positive",1
"996","english","grin","positive",1
"997","english","grist","positive",1
"998","english","grit","positive",1
"999","english","groundwork","positive",1
"1000","english","grow","positive",1
"1001","english","growth","positive",1
